,Mkt-RF,SMB,HML
197303,-1.3,-2.78,2.57
197304,-5.68,-3.84,5.39
197305,-2.97,-6.27,0.38
197306,-1.57,-2.84,1.14
197307,5.04,7.92,-5.26
197308,-3.82,-2,1.03
197309,4.74,2.93,2.22
197310,-0.83,-0.21,1.66
197311,-12.78,-7.72,4.09
197312,0.59,-5.4,4.01
197401,-0.16,9.68,5.95
197402,-0.46,0,2.47
197403,-2.82,2.5,-0.14
197404,-5.28,-0.68,0.92
197405,-4.7,-2.93,-2.08
197406,-2.84,-0.24,0.83
197407,-8.06,0.78,5.16
197408,-9.39,-0.69,2.61
197409,-11.79,0.27,5.43
197410,16.11,-3.43,-9.91
197411,-4.53,-1.17,-0.25
197412,-3.44,-4.74,0.12
197501,13.67,11.06,8.26
197502,5.56,0.12,-4.47
197503,2.66,3.75,2.42
197504,4.22,-0.64,-1.13
197505,5.2,3.93,-4.05
197506,4.87,0.81,1.35
197507,-6.6,2.66,1.76
197508,-2.84,-3.17,-0.91
197509,-4.26,-0.16,0.33
197510,5.32,-4.08,0.35
197511,2.65,-1.22,2.03
197512,-1.6,-0.87,1.7
197601,12.15,4.87,8.63
197602,0.31,6.97,5.71
197603,2.32,-1.17,-0.11
197604,-1.49,-0.08,-0.16
197605,-1.34,-1.19,-1.29
197606,4.06,-1.32,0.73
197607,-1.06,0.28,1.74
197608,-0.57,-2.05,0.79
197609,2.06,0.08,-0.31
197610,-2.42,0.14,-0.17
197611,0.36,2.34,1.53
197612,5.65,3.03,2.23
197701,-4.03,4.75,4.32
197702,-1.94,1.03,0.45
197703,-1.35,0.99,1.09
197704,0.15,-0.13,3.38
197705,-1.47,1.25,0.81
197706,4.72,2.07,-0.62
197707,-1.69,2.09,-0.6
197708,-1.76,1.55,-2.77
197709,-0.27,1.5,-0.26
197710,-4.39,1.19,1.62
197711,4,3.68,0.23
197712,0.27,1.36,-0.29
197801,-6,2.28,3.38
197802,-1.39,3.59,0.81
197803,2.85,3.44,1.15
197804,7.87,0.36,-3.54
197805,1.76,4.53,-0.55
197806,-1.69,1.74,0.6
197807,5.12,0.29,-1
197808,3.78,5.06,-0.66
197809,-1.44,-0.49,1.88
197810,-11.9,-9.89,1.26
197811,2.71,3.06,-2.08
197812,0.87,1.19,-2.14
197901,4.22,3.55,2.19
197902,-3.56,0.44,1.17
197903,5.67,3.2,-0.68
197904,-0.07,2.17,1.12
197905,-2.2,0.21,1.32
197906,3.84,1.13,1.42
197907,0.83,1.28,1.79
197908,5.54,1.98,-1.58
197909,-0.83,-0.26,-0.94
197910,-8.1,-3.38,-1.83
197911,5.22,2.81,-3.21
197912,1.78,4.13,-2.13
198001,5.5,1.62,1.85
198002,-1.23,-1.86,0.59
198003,-12.9,-6.7,-0.96
